label,left_knee,left_hip,right_hip,right_knee
haut,178.781367300715,169.81849455972966,169.54222419830737,177.9860148145184
haut,179.0963318650901,170.18832406908265,166.04134106404481,173.62552280101997
haut,178.4485772358038,168.56461624564412,165.61478912658885,171.49422967932597
milieu,179.55920469393598,172.09875702603796,158.43437818906935,165.6243269090517
milieu,179.49925698695864,173.57233648275445,156.1292439271328,165.53062729284744
milieu,179.05826161198965,175.69497355399494,152.62037105886463,163.4716003961653
milieu,179.33160533108799,174.09741275828753,147.97491728315887,158.75383012985736
milieu,173.00882544862756,169.4539019033346,142.78904077314667,151.29223897258976
milieu,171.35492824852483,167.99051934263392,134.94148074973228,141.98041790215282
milieu,158.28978570880616,156.21765069738552,125.6712559931724,129.6121990783458
bas,150.70159840930273,147.43971927117985,116.22795412607073,120.00024769331402
bas,142.8336194966276,139.32769962505088,102.25730979338782,107.12085620488902
bas,143.8594905048396,138.95852857581738,102.94252977575243,105.47136027427835
bas,142.00824519896912,136.10269712949616,101.1640605445076,103.49429532469706
bas,142.93317536524603,136.49329573652926,108.37947295801888,110.22200443753759
bas,158.77397764498312,154.05945767878663,109.45342812667903,113.1158628756368
milieu,169.53787495714232,164.83423532311681,121.21367325724967,125.08400170142698
milieu,174.82879397954176,171.3965914351998,132.90794505478544,136.62058114976585
milieu,176.134812583939,172.65528922473098,141.28836172230487,145.7420081821016
milieu,175.8383724792987,171.95501547849773,147.16702395438676,152.1453995555721
milieu,175.95998234820863,171.20535427678874,152.52461155578615,157.62497680828488
milieu,178.05475518904345,171.15077457677287,156.38109947216333,161.88480747673287
haut,179.56741011642075,171.1524702363936,160.6695226584148,166.39652943190444
haut,179.55954597914692,170.5041855960809,166.10527131243376,172.96689594146596
haut,178.05301218082045,171.58605443574288,167.67048849466562,177.62010148613302
haut,178.39529746287621,171.4505769602381,169.12168118942967,178.86623714775826
haut,178.2803694859685,171.16739445239966,168.56302208162154,178.2775520416682
haut,178.57025872926909,171.83719448426584,167.3314121112607,177.5796781779494
haut,179.3044970630819,169.71527582177282,168.2712840293165,177.58208352456438
haut,178.52436435683714,172.24574344805166,166.17778639724594,176.22639598436726
milieu,178.03049675537088,173.0168896573852,163.2819326944935,172.24752045871332
milieu,179.41773102238122,172.78668682784442,158.68945631568263,166.68056711975123
milieu,179.36931764512076,173.9270327129596,155.32465215406708,162.36933360775873
milieu,178.76045127937266,175.60436914311316,149.12947494429872,155.81512164138294
milieu,176.23577999916455,172.3077118431813,142.41040884241676,148.9606812343566
milieu,171.90871357963675,168.16205107380972,132.60318143622322,138.29324025885063
milieu,168.1184952138035,163.58116777956792,119.73093222530068,124.70654268165009
bas,162.19859273182226,157.13565861454737,111.66152282536711,117.23605340049487
bas,148.49628541035545,142.40688329990894,100.42393742102026,106.20920516213376
bas,131.34929008347584,124.51724242153888,93.20651294602459,98.04678878957085
bas,138.09966904408637,132.44826088122,96.75635766403217,102.25265866780089
bas,155.75815879160962,150.36964099739612,99.79750074425938,107.05671798308538
bas,167.30368297101182,163.37384719676925,110.9426780011825,116.8033317488246
milieu,173.3107554619869,168.69448428594632,126.40451303048113,130.9763985864469
milieu,176.8718348239806,172.33129433669265,137.7101041754904,142.13268235934504
milieu,177.43740534228738,172.26825494480997,144.59088586160135,149.3928015234415
milieu,177.6227992683825,171.58966720048784,151.13229699021235,154.1739553007233
milieu,178.7784728280881,170.74015367495622,156.64184698155464,161.5334684747769
haut,179.6024155631187,170.9382663191521,161.16985274061096,167.15237434256758
haut,178.6400734431213,171.0322164879844,166.5097328201663,174.6689984704783
haut,178.9724700547938,170.44535396804875,167.66700105354764,177.08519910665183
haut,179.5998601780323,170.16324529520338,167.04510607229653,174.5414091879078
haut,179.46245273017445,169.8520547362133,166.760345113354,173.1153576706159
haut,179.4468836001824,169.43272804977937,166.75391427455745,173.73883353530917
haut,179.04374302057016,169.71708249488913,166.31151141972924,173.463945869128
haut,179.31511830647267,170.86829684804914,165.15241032131726,173.39074545363613
haut,178.94862760598605,172.70653695783346,163.93469415251997,172.92882103755002
milieu,179.11018930543943,174.05342524231804,160.5086500754603,168.77493812598516
milieu,178.96732885776547,174.87228637159524,156.87110671666937,165.08235536624193
milieu,177.18012550517113,175.9260670836936,152.5087916629838,160.73445442264705
milieu,179.39950901896347,175.3501141464489,146.7522454606244,153.6426654655168
milieu,176.6074538811679,172.44269988825036,137.09596464785724,142.91032222871888
milieu,175.86073416272325,171.86391042783396,128.05952396300646,133.94365696091302
milieu,168.26476890098235,162.8619374165375,116.156893580879,120.82769695384195
bas,160.62069059175255,153.387532864919,106.5448569923034,111.48583756423787
bas,143.9129020040488,136.8958222154497,99.82500045273041,103.86382650618941
bas,143.25958858070163,135.3688162328506,103.59238470776984,106.13008636658384
bas,147.3242069862096,140.2296774205719,102.53612168200821,106.13958914318931
bas,165.11527920944914,159.11949761854973,111.0839472127224,114.4498518773977
milieu,174.19717214484467,169.21331296866694,121.14459486747451,124.94007325855829
milieu,178.62592767294058,174.21783338208132,132.1769880860777,136.3765118406881
milieu,179.0891665508453,176.27308460087045,140.32646577565387,144.11765401362203
milieu,178.52891940461436,173.92881182527006,146.11595769139225,150.21852229563495
milieu,179.56937207132344,173.16670305551622,153.63386377131494,158.22321723049362
milieu,179.62994389309344,171.59060435588768,157.90472739805995,164.45143079883758
haut,178.5013652850951,171.93228102101082,162.78942835710563,170.27244021268731
haut,177.69565404388462,171.3624804155104,167.6727265534485,176.54502935689737
haut,178.7645951017679,170.20166025041092,169.57109384526106,177.7022754164266
haut,177.86356028082776,170.67197680592037,171.38010923409237,179.5720158772179
haut,178.23832788846735,170.95382413205422,169.14189166300287,177.6173391949224
haut,177.14559260739205,171.9586246462516,169.00564914145954,177.90686236438813
haut,178.68729132054793,170.77010489306784,168.23231513298043,176.08523829730123
haut,177.391432398921,171.72610044422223,168.45733054904335,176.79519664077685
haut,176.37533843188447,172.37082335982961,167.49725025989127,175.88394002318782
haut,177.01561214115486,169.37139098852526,162.86301702399427,174.97241800045464
haut,177.00977140912673,172.64522335851052,166.97019007952053,175.9182307650129
haut,178.20479120567614,173.01879629285074,165.3152264854798,172.96971221367428
milieu,177.94248769996207,174.48134900109747,161.3001602584536,167.55384410794778
milieu,178.4330781049848,175.53937370681675,156.0928302976898,162.40258291766074
milieu,178.1465880469353,176.51723151670572,146.89765810224674,152.96553957404004
milieu,178.1690558243401,174.76175720040737,141.51847760441558,146.85266656921715
milieu,177.3134484889325,175.91390050283937,131.14480759025952,137.6418114568054
milieu,170.39102705404727,169.1701443241842,119.96464758632638,124.23492376786122
bas,159.34234576444666,158.36106026135943,109.13639371122402,113.61464212561233
bas,138.74078696628487,134.85737821968937,96.63149570434804,99.2680132591638
bas,126.97277318559075,123.30242110672727,93.75598415868816,96.81541610619776
bas,113.6234966516241,109.64759511139412,85.08825121575677,90.91919011341503
bas,96.07916879589001,94.333928574165,115.39475820005056,126.06548787428846
bas,119.31184454321495,113.46766935749064,93.14666808594923,98.69498943379872
bas,104.60584869573917,100.32572753626067,103.66724884826232,109.41439999200232
bas,113.89755736074792,109.32368927197803,94.69330507506056,99.90241096198147
bas,124.7700911762264,120.52306685635193,91.81926581424885,95.71149068519355
bas,140.73387850124223,137.37831938846068,104.6733768785739,107.05197269258552
milieu,159.987624015852,157.5299583880629,107.04094114119764,111.0668867010243
milieu,173.1565275479324,171.61399504124432,120.17151177228318,125.3734613572987
milieu,175.06998009738513,172.58856344566226,133.1770684822245,138.4117869435902
milieu,177.08052955255488,174.77146268259517,140.29157142638834,145.66623697350832
milieu,176.37269963381956,172.78726793209503,148.35064087502894,153.38905137990398
milieu,178.01870803749182,173.57007722209877,153.71593014089652,159.04321868785317
milieu,177.24946845884665,168.28995827922083,152.64347935572644,162.07860416135412
milieu,140.14202000251703,18.347876770294846,3.212536884138473,154.09963784151955
haut,140.73467052928643,11.967423783060587,0.79726197028057,159.59747196325574
haut,178.91007572758102,167.51527010204435,167.0553260476783,176.2529941526734
haut,178.0474073487728,171.58503919661,169.44856689788085,178.94459235567214
haut,177.61391867739854,171.48199751820522,170.97146365052077,178.69475478375864
haut,177.680469695367,171.85913861976206,169.86421669532294,179.35932663092143
haut,177.12500347665895,172.65434757981697,168.8228062120382,178.497043720795
haut,177.19741352485002,172.45306197855447,170.44628443703655,179.66681930211166
haut,178.0183800574257,171.806237346155,170.19099174549564,179.70130424939356
haut,174.65337667987936,163.9549655992138,166.2972790530557,177.8671111159769
haut,176.94779954674118,173.14391063924293,166.7651333818314,177.3491141595714
haut,178.30089818123116,173.79346235441542,164.81841034591787,175.27317485034308
haut,34.3364883033634,42.57691833596253,96.75551599643241,52.29273548850577
bas,178.7722960389321,3.5351811232771055,4.622974198957901,158.2790380302026
bas,176.04531426627264,177.19947494635505,151.42173358602787,159.1829440897526
bas,176.51992763744315,177.48613776040236,143.73243128697874,151.66233367562265
bas,176.2765871115221,178.475910898547,132.51202304881136,142.32962038187557
bas,179.55827261678778,176.85306150557702,124.50600124912464,133.92835827692224
bas,171.99864655859668,169.47200950170836,114.9937139015824,122.08241896220056
milieu,158.82862875077325,155.08955388847318,102.6183397226126,106.98262910915123
milieu,144.8734534566283,140.4061268920507,97.09467513825962,101.69899411965365
milieu,102.85073040576393,98.0046222012858,83.51004374499566,86.22997294898194
milieu,108.2047042862019,104.51474053836313,74.41973550533032,76.06357993749494
milieu,97.95863840164228,92.1162081137237,75.68890505360763,77.25406946758457
milieu,135.0429302535638,129.3639885840497,94.33952946371912,96.3091634413291
milieu,164.99773620626306,160.45353094826254,99.82224888091298,104.3730146084351
haut,172.41996740317404,171.46368418191295,173.20053670472709,176.54651707664533
haut,173.18566273240538,171.67480126132486,173.1357771122401,177.87788720476533
haut,170.82891864807854,170.55863802915877,173.1769331150091,176.62301510587676
haut,168.60861391369002,169.37197065881696,173.8863576901201,176.60325809151735
haut,170.55543036371728,168.7275394943846,175.065544310409,174.46882228117818
haut,168.91425928031092,168.27783072863417,175.6156018533129,174.27247873111972
haut,168.08499557749496,167.3354656739656,175.77616316463605,171.8253821672176
milieu,163.66448496076023,165.28046387756723,176.77939537752317,171.11467407165745
milieu,163.8381647966195,164.85198241718987,177.72825741270097,170.51641446388905
milieu,158.08682154258722,162.00820446513535,178.7694198830973,169.52838877134536
milieu,161.51438717236812,162.1014073396184,178.85562661500796,170.324662620613
milieu,160.47828535120902,161.0426150754595,179.71059067851598,169.22260579852679
milieu,153.58809718536907,156.68017485423405,178.51831702267475,166.7687855496533
milieu,155.4514795496539,156.26171246961394,176.84391192731215,167.13370765189381
milieu,158.43222148747793,156.57511059775103,176.97833710591868,167.17822093033215
milieu,156.13197157324825,154.8638998638759,176.14396784991123,166.6765048248109
milieu,153.66974503091754,152.95884190557751,175.66418850418063,165.213383772015
milieu,151.99307752950295,150.93780891844395,173.33953387082232,166.0974345935223
milieu,148.40720917051317,146.7905524779051,172.68305818702547,165.42973592309568
milieu,146.7785973026745,145.4322692511027,172.21026694397816,164.03474744231005
milieu,147.70809124308636,145.6692508201683,171.9398980394404,164.98015043540516
milieu,144.23540465520688,142.78625073869415,172.52131603056395,166.86731392343566
milieu,145.12331322085652,143.38113109833213,172.30990190221175,166.77627849459182
milieu,143.5242806422197,141.36731851143935,173.00414457306945,167.9369162908078
milieu,141.4659172765196,141.2354537718965,172.8040180433125,167.18201225440825
milieu,140.0245369053144,140.72384822366496,173.3661364715162,167.52722976694054
milieu,137.90590351867095,137.57843435523984,173.34566841160924,168.75900848135325
milieu,139.79792341227065,140.09137500277873,176.4023340191024,171.0001431884479
bas,138.66871827610618,139.3853013819139,177.44357584009657,173.95319621514673
bas,139.2379627657443,138.51083262228812,174.27342264391555,169.669115961262
bas,138.32862863346625,137.0523830914786,173.98507816683244,169.7843502098784
bas,139.0677765851635,135.51577530580167,173.1681111509361,168.2644375792682
bas,132.64796992296172,129.22852000215886,171.36405187964112,169.4630756116478
bas,128.28366056836214,127.71737616744505,175.54977052345518,169.4909275586264
bas,126.80029606295103,126.08608529618591,175.13840096847872,168.9677819159716
bas,130.92726017478088,130.74162187298177,176.09475420056924,171.94546532608155
bas,128.73622599099852,127.27139277031229,173.77246977071917,170.03503098224985
bas,126.56039005293988,124.21670733784393,171.4362598841586,168.22301955264848
bas,122.84367200522611,118.07980055683949,165.90334798580162,163.79747936872639
bas,120.77180675988843,116.05243815056723,165.80529087358087,163.6245091508874
bas,120.06530402470169,115.95699412669536,163.50113496995638,162.26084793800928
bas,118.54474425213421,114.74840317088676,164.82967217954368,163.82289248881847
bas,114.12137743377755,109.76359987858685,163.99543316747307,163.694985493202
bas,115.94783358113875,111.53859175017224,164.16119947649605,163.55438291735396
bas,115.65231543720643,110.24508566785477,163.5975627273026,164.49964892081124
bas,111.73181215784152,106.46247068205841,162.9319037784741,164.0393099583528
bas,111.7919226569588,105.08371351345792,162.20052120811286,162.76814962448063
bas,111.25847130941281,104.88489410483724,164.06875214778154,164.6967930151549
bas,109.93762380486015,104.7580386867741,167.77087592063722,168.14862594926356
bas,110.98037827713557,103.42087074088928,165.99354574207544,166.73468296127882
bas,110.63252856936477,105.29064465495797,167.84535539158387,168.10023861195936
bas,111.11449426286121,106.03964607731928,169.82353448886525,169.37276302954356
bas,109.9175531017409,104.3681995585315,166.69402591102593,167.73307688034035
bas,111.8078133385663,106.47869395457411,169.32115635705054,168.45726254620453
bas,114.89316684422954,109.75532447693956,168.1844934233231,169.4901404228117
bas,120.75260772078852,115.75414673014099,167.40894126429373,168.15661481468229
bas,124.61082758056781,119.52383979349347,169.49620496650374,169.53230965355587
bas,126.15895634012605,123.14551547049126,171.49822297400684,170.11889059102893
milieu,129.09703373406916,125.92623722809725,170.41181345598392,169.11931162160303
milieu,132.00126497592618,128.8596280312659,170.94575575964672,169.0207113250858
milieu,133.18420521831942,130.91887013884238,168.60084860076734,166.5921196422335
milieu,135.75829861505818,131.8539236575167,169.99738060805623,166.95061060739474
milieu,138.43733023776713,136.04164113082885,168.9317880102196,164.73909866529712
milieu,141.29077908768477,137.10320925670888,170.29430114515733,167.70842712010463
milieu,144.70197578895747,141.67240453395513,171.75506833612087,167.54458387559154
milieu,143.84326573128163,141.88461120342882,172.77180571866162,167.52677190128048
milieu,147.3547352209251,147.11951337479508,175.9580401154137,171.70374755855693
milieu,151.5873992629756,150.21122687992064,176.69541592051112,172.32229066584244
milieu,152.75487229399056,152.31905167660105,176.8522937420689,169.80042479622546
milieu,153.73757052678798,152.6719155290609,175.6607728798243,168.70862709174307
milieu,156.6773854383573,155.04706305146442,177.0089500666032,169.34544231394608
milieu,156.8636183394312,155.85374815611289,176.9105740291144,170.11946123785123
milieu,158.9624602993463,159.36262503513777,179.70759085641495,172.32056843020428
milieu,162.95496411407962,162.35528160035156,179.071747688667,171.9950373528448
milieu,164.28597896316376,163.03294985459354,177.85906829956946,173.46960171157005
milieu,166.35377528571277,165.14170197573014,176.3942234815686,173.95283091354278
haut,167.13841316517704,165.82766459381094,175.71175493721577,174.83608592370848
haut,169.83463213946814,167.68966703841448,175.20584313584277,174.60455382545587
haut,171.96234772329584,169.70261509787312,174.4371983657919,174.2546146101867
haut,172.82331760010993,171.46689451169922,172.90658569827343,175.72956770086978
haut,174.41853741020708,171.63337690542522,172.89317417400716,175.77300241071939
haut,175.00385046233856,172.98344232820236,172.5112341887901,176.06951203782765
haut,176.5817290927354,172.89983184480755,172.0680981608192,175.40035034577892
haut,176.56989262778123,173.70143355096957,171.43233294232192,176.44446966602106
haut,178.0355840867844,174.61622193669473,170.8182819106809,177.41226058317983
haut,179.08772843048575,175.54282372549486,170.24798223974875,177.80934782891893
haut,178.77865594399242,175.04040043789536,170.7681720034492,177.62315593105617
haut,179.27728176596617,176.36906136340605,169.84024504331836,177.75273784274768
haut,178.86074809620948,175.8575747364091,169.30958652223882,179.1580525917099
haut,179.59867353471515,176.2003390976298,169.17343530669024,178.1024370383082
haut,179.26730053094263,175.64719202289874,170.0309086998277,177.7124056887694
haut,179.40164919335848,176.49240133883163,169.88096171364083,177.37325297507252
haut,179.41241373565532,176.24553834751248,169.3422154536487,177.38575341305884
haut,179.13688094383767,176.1354095868036,169.6210545612031,177.3212808407702
haut,178.6165300310998,176.41261766672318,169.3139768573596,177.7129571986454
haut,179.2763513540174,176.39641905693807,169.08787615699498,177.12339400952587
haut,178.58138123941714,175.98413630319516,169.3778356897625,176.6705134409763
haut,178.84867941891346,176.18974360107757,169.32943903533976,176.9199217202309
haut,179.22234502175425,176.3082104542699,169.19845543530877,178.08190095612488
haut,179.49714803284837,176.27082749880654,169.67809698831937,177.6164732619031
haut,179.40793644680457,176.58344173678796,169.0621016219514,178.1883680195847
haut,178.49878532556914,175.85814833824762,169.31288626270128,177.75231909357376
haut,177.9935937140009,175.3627112071187,170.01574100643467,176.51213593715596
haut,177.78411747750897,174.9048830188072,170.05933767039588,176.25080575197535
haut,177.88517867102914,174.19924562770333,170.6711251330289,177.3646934715848
haut,177.2826245175388,173.5323963953271,171.08974192143785,177.17605156558983
haut,175.1205247058978,171.62881018636457,172.38413745935856,176.90923554107238
milieu,170.67996015894497,167.95467636424047,174.20512339906637,174.84666863109757
milieu,168.51901868180576,166.68080123990245,175.48647598943444,171.83793741073757
milieu,164.33755613414337,163.82601875404566,176.19158787541411,170.32927377064357
milieu,161.60773918291122,161.89160401693516,177.3585030993327,170.26024247373766
milieu,161.79797619201364,161.00662987753603,179.20732861140704,168.506231736254
milieu,162.9700081965966,160.17795221052472,179.70091743782254,171.3966004409434
milieu,160.36269493538708,158.42529988564115,179.00594744389002,171.59686872951656
milieu,156.9388115987413,156.36873423904035,178.1374069429796,168.35966696726615
milieu,154.0553178998893,153.8810226444631,177.64015945351434,168.83648779537532
milieu,148.96301793145128,149.72497671759814,176.47907925169622,168.99978534256292
milieu,146.4063234550643,146.99326753381226,177.017322128426,169.85616031825202
milieu,146.38602603552775,146.44960322294935,176.51678704845148,168.4545444193395
milieu,146.05269153706342,145.49966211396577,174.50779271143827,167.10980974975885
milieu,142.87111089089646,144.0745010613339,175.1231998472324,168.76985899439904
milieu,142.94815316981618,143.324222876098,176.5788826910768,170.12016316938588
milieu,139.06211306406576,140.38909463323313,176.02489063616798,168.28742005389796
milieu,140.8066410396391,141.9282069038721,176.98133614167728,170.1746240395199
milieu,138.2851183044038,138.98406057583603,175.28138258880213,167.8012079665745
milieu,137.207153985146,138.3171210769837,176.30844963244166,170.89894774690302
milieu,136.67899749810329,138.09585520597147,178.25422313586571,172.69028259733986
milieu,134.7876099773754,136.59098749767065,177.6313429123133,171.08862966299282
milieu,132.85851026012512,133.214713268554,179.4398549582696,173.1282635777432
milieu,138.59296023223226,135.2217242566079,175.646082578371,169.8657364047976
milieu,130.72507815872837,129.56991452552472,179.40122057577454,172.92517330799026
bas,132.49449775598637,131.26567170981915,177.57006450090032,172.27475851013145
bas,130.29401162670533,130.2417184216376,178.56529847760598,176.30171202449668
bas,130.7441716584161,129.19091906637493,179.2729962038288,175.28130673563234
bas,127.98295293221824,124.70538623106359,174.5593831712918,171.66567999767085
bas,126.0998417548867,124.38918019826669,173.08396449896654,171.12482238687866
bas,127.5281772843295,124.94979018660243,176.75612808317382,173.4372246354074
bas,127.30472111749286,127.52704465129813,178.97494109221438,176.16318445814485
bas,126.5924007945557,125.79317656188303,177.57424572235496,176.87524655444366
bas,118.38488204481341,117.31079376864909,178.75642475041744,175.13853366566508
bas,124.25835707757355,123.00342915783558,174.37095641736943,179.14154421575296
bas,130.3507794755256,131.51166709377466,173.46283209699195,179.2934343818932
bas,122.30453870059259,123.13445628021898,175.487842946816,179.19903396249276
bas,113.35393683835704,113.37354159461894,177.89779916136922,174.47655603162394
bas,114.17752910003644,113.52957810475996,179.17308879712235,174.60633371406718
bas,113.9827725738398,113.17155748541234,172.35052344590568,178.9364532011412
bas,116.02863783576142,116.21075676894613,176.1085189772882,179.026787445591
bas,119.00357760230189,118.98843124627082,178.78218702553482,177.28036815998612
bas,122.0191655894853,121.47242469487786,177.7784769149006,177.7785128382659
bas,126.80222588481458,125.29947900940267,177.8347075834545,174.99945937936647
bas,124.78650523291641,122.59108868300191,175.0836444979063,173.6441737010892
bas,125.46994725530689,124.51166672309286,175.6177762910857,173.7399572825032
bas,128.90035199633573,129.00609575400782,178.66502134676492,178.6725262565142
milieu,128.766189893889,128.70570418975313,178.85554472750948,177.49229709285558
milieu,132.36917913027347,132.50453225720105,177.84190957300007,178.25036977117574
milieu,134.65861635231286,134.2506590302666,178.64569744150663,176.83535973343515
milieu,136.45158859630283,134.64687793905847,177.00547510955886,176.6496260248818
milieu,138.19326509183608,137.4521964829915,174.6829970896814,173.16829465931943
milieu,140.05188261286165,139.5807335695646,176.03637343734104,174.1039155162617
milieu,142.300842492247,141.3227796980303,176.71556506909494,174.7235271259831
milieu,144.79698090843817,144.57964339622268,177.05537831680545,173.38841484412754
milieu,147.52116322825378,146.79339886644632,177.37798256539403,173.4721800652687
milieu,149.0044540049778,149.67545482070003,176.90942648985597,171.4298348039337
milieu,152.82148624007564,151.2141208119709,177.34490603754674,173.03450396776725
milieu,154.41478836609673,152.89735141808754,177.96553902630637,172.58559054910134
